"PEPANNRES: Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014",,,,,,,,,,,
2014 Population Estimates ,,,,,,,,,,,
Geography,,,"April 1, 2010",,,,Population Estimate (as of July 1),,,,
,,,Census,,,Estimates Base,2010,2011,2012,2013,2014
"Boone County, Nebraska",,,"5,505",,,"5,505","5,496","5,389","5,407","5,375","5,353"
"Box Butte County, Nebraska",,,"11,308",,,"11,308","11,293","11,308","11,291","11,310","11,340"
"Boyd County, Nebraska",,,"2,099",,,"2,099","2,100","2,083","2,059","2,019","2,033"
"Brown County, Nebraska",,,"3,145",,,"3,143","3,144","3,076","3,021","2,924","2,941"
"Buffalo County, Nebraska",,,"46,102",,,"46,102","46,174","46,839","47,644","48,058","48,224"
"Burt County, Nebraska",,,"6,858",,,"6,858","6,838","6,782","6,672","6,583","6,573"
"Butler County, Nebraska",,,"8,395",,,"8,395","8,370","8,307","8,308","8,324","8,249"
"Cass County, Nebraska",,,"25,241",,,"25,241","25,254","25,256","25,159","25,381","25,524"
"Cedar County, Nebraska",,,"8,852",,,"8,852","8,829","8,786","8,770","8,686","8,610"
"Chase County, Nebraska",,,"3,966",,,"3,966","3,963","3,999","4,033","3,977","3,978"
"Cherry County, Nebraska",,,"5,713",,,"5,713","5,715","5,749","5,738","5,779","5,762"
"Cheyenne County, Nebraska",,,"9,998",,,"9,998","9,961","9,968","10,062","10,079","10,148"
"Clay County, Nebraska",,,"6,542",,,"6,542","6,542","6,476","6,407","6,383","6,315"
"Colfax County, Nebraska",,,"10,515",,,"10,515","10,539","10,569","10,541","10,406","10,504"
"Cuming County, Nebraska",,,"9,139",,,"9,139","9,144","9,137","9,090","9,005","9,027"
"Custer County, Nebraska",,,"10,939",,,"10,943","10,913","10,874","10,788","10,796","10,728"
"Dakota County, Nebraska",,,"21,006",,,"21,006","21,029","20,851","20,837","20,944","20,850"
"Dawes County, Nebraska",,,"9,182",,,"9,182","9,172","9,230","9,167","9,093","9,042"
"Dawson County, Nebraska",,,"24,326",,,"24,326","24,354","24,324","24,100","24,152","24,096"
"Deuel County, Nebraska",,,"1,941",,,"1,941","1,937","1,970","1,973","1,934","1,940"
"Dixon County, Nebraska",,,"6,000",,,"6,000","5,970","6,007","5,907","5,835","5,782"
"Dodge County, Nebraska",,,"36,691",,,"36,691","36,701","36,979","36,670","36,617","36,744"
"Douglas County, Nebraska",,,"517,110",,,"517,110","518,594","524,611","531,309","537,529","543,244"
"Dundy County, Nebraska",,,"2,008",,,"2,008","2,008","1,976","1,991","1,969","1,886"
"Fillmore County, Nebraska",,,"5,890",,,"5,890","5,889","5,852","5,748","5,685","5,661"
"Franklin County, Nebraska",,,"3,225",,,"3,225","3,231","3,216","3,190","3,091","3,076"
"Frontier County, Nebraska",,,"2,756",,,"2,756","2,753","2,729","2,731","2,712","2,705"
"Furnas County, Nebraska",,,"4,959",,,"4,959","4,954","4,937","4,903","4,856","4,888"
"Gage County, Nebraska",,,"22,311",,,"22,311","22,286","21,946","21,735","21,816","21,663"
"Garden County, Nebraska",,,"2,057",,,"2,057","2,078","2,044","1,962","1,904","1,911"
"Garfield County, Nebraska",,,"2,049",,,"2,049","2,041","1,993","1,991","2,033","2,003"
"Gosper County, Nebraska",,,"2,044",,,"2,044","2,048","1,953","2,038","1,974","1,970"
"Grant County, Nebraska",,,614,,,614,612,630,615,625,619
"Greeley County, Nebraska",,,"2,538",,,"2,538","2,544","2,534","2,457","2,483","2,482"
"Hall County, Nebraska",,,"58,607",,,"58,607","58,797","59,568","60,335","60,923","61,492"
"Hamilton County, Nebraska",,,"9,124",,,"9,114","9,127","9,079","9,025","9,122","9,135"
"Harlan County, Nebraska",,,"3,423",,,"3,423","3,427","3,452","3,426","3,513","3,492"
"Hayes County, Nebraska",,,967,,,967,960,983,947,973,933
"Hitchcock County, Nebraska",,,"2,908",,,"2,908","2,893","2,871","2,883","2,873","2,901"
"Holt County, Nebraska",,,"10,435",,,"10,435","10,451","10,460","10,409","10,438","10,403"
"Hooker County, Nebraska",,,736,,,736,734,742,711,732,728
"Howard County, Nebraska",,,"6,274",,,"6,274","6,265","6,302","6,305","6,341","6,362"
"Jefferson County, Nebraska",,,"7,547",,,"7,547","7,534","7,557","7,551","7,547","7,335"
"Johnson County, Nebraska",,,"5,217",,,"5,217","5,216","5,194","5,164","5,129","5,185"
"Kearney County, Nebraska",,,"6,489",,,"6,489","6,497","6,573","6,534","6,553","6,644"
"Keith County, Nebraska",,,"8,368",,,"8,368","8,359","8,219","8,210","8,121","8,121"
"Keya Paha County, Nebraska",,,824,,,824,821,824,799,797,810
"Kimball County, Nebraska",,,"3,821",,,"3,821","3,827","3,787","3,785","3,687","3,713"
"Knox County, Nebraska",,,"8,701",,,"8,701","8,668","8,581","8,579","8,557","8,482"
"Lancaster County, Nebraska",,,"285,407",,,"285,407","286,134","289,945","293,469","297,285","301,795"
"Lincoln County, Nebraska",,,"36,288",,,"36,288","36,267","36,069","36,029","36,092","35,815"
"Logan County, Nebraska",,,763,,,763,768,767,771,764,750
"Loup County, Nebraska",,,632,,,628,626,614,600,581,588
"McPherson County, Nebraska",,,539,,,539,538,546,505,523,498
"Madison County, Nebraska",,,"34,876",,,"34,876","34,950","35,016","35,122","35,251","35,174"
"Merrick County, Nebraska",,,"7,845",,,"7,855","7,854","7,734","7,797","7,801","7,766"
"Morrill County, Nebraska",,,"5,042",,,"5,042","5,040","4,930","4,875","4,882","4,862"
"Nance County, Nebraska",,,"3,735",,,"3,735","3,729","3,732","3,703","3,600","3,570"
"Nemaha County, Nebraska",,,"7,248",,,"7,248","7,247","7,273","7,197","7,178","7,175"
"Nuckolls County, Nebraska",,,"4,500",,,"4,500","4,507","4,451","4,431","4,395","4,369"
"Otoe County, Nebraska",,,"15,740",,,"15,740","15,758","15,772","15,704","15,717","15,797"
"Pawnee County, Nebraska",,,"2,773",,,"2,773","2,775","2,785","2,782","2,726","2,702"
"Perkins County, Nebraska",,,"2,970",,,"2,970","2,987","2,956","2,947","2,910","2,891"
"Phelps County, Nebraska",,,"9,188",,,"9,188","9,185","9,159","9,216","9,197","9,187"
"Pierce County, Nebraska",,,"7,266",,,"7,266","7,261","7,196","7,180","7,164","7,202"
"Platte County, Nebraska",,,"32,237",,,"32,237","32,268","32,420","32,558","32,513","32,666"
"Polk County, Nebraska",,,"5,406",,,"5,406","5,389","5,341","5,282","5,250","5,271"
"Red Willow County, Nebraska",,,"11,055",,,"11,055","11,052","11,011","11,013","11,023","10,867"
"Richardson County, Nebraska",,,"8,363",,,"8,363","8,343","8,322","8,267","8,125","8,128"
"Rock County, Nebraska",,,"1,526",,,"1,528","1,524","1,445","1,393","1,417","1,443"
"Saline County, Nebraska",,,"14,200",,,"14,200","14,231","14,355","14,447","14,298","14,252"
"Sarpy County, Nebraska",,,"158,840",,,"158,840","159,748","162,655","165,822","169,358","172,193"
"Saunders County, Nebraska",,,"20,780",,,"20,780","20,858","20,872","20,807","20,881","20,919"
"Scotts Bluff County, Nebraska",,,"36,970",,,"36,970","37,060","36,924","36,902","36,870","36,465"
"Seward County, Nebraska",,,"16,750",,,"16,750","16,788","16,728","16,965","17,064","17,150"
"Sheridan County, Nebraska",,,"5,469",,,"5,469","5,457","5,389","5,355","5,252","5,259"
"Sherman County, Nebraska",,,"3,152",,,"3,152","3,149","3,141","3,124","3,110","3,074"
"Sioux County, Nebraska",,,"1,311",,,"1,311","1,312","1,326","1,321","1,319","1,303"
"Stanton County, Nebraska",,,"6,129",,,"6,129","6,128","6,181","6,093","6,084","6,069"
"Thayer County, Nebraska",,,"5,228",,,"5,228","5,218","5,171","5,154","5,196","5,230"
"Thomas County, Nebraska",,,647,,,647,650,689,691,696,687
"Thurston County, Nebraska",,,"6,940",,,"6,940","6,973","6,909","6,923","6,897","6,969"
"Valley County, Nebraska",,,"4,260",,,"4,260","4,258","4,243","4,229","4,197","4,204"
"Washington County, Nebraska",,,"20,234",,,"20,234","20,276","20,263","20,291","20,231","20,258"
"Wayne County, Nebraska",,,"9,595",,,"9,595","9,600","9,456","9,514","9,437","9,431"
"Webster County, Nebraska",,,"3,812",,,"3,812","3,814","3,766","3,753","3,675","3,658"
"Wheeler County, Nebraska",,,818,,,818,821,812,792,758,766
"York County, Nebraska",,,"13,665",,,"13,665","13,645","13,744","13,815","13,863","13,917"
"Churchill County, Nevada",,,"24,877",,,"24,877","24,798","24,587","24,317","24,045","23,989"
"Clark County, Nevada",,,"1,951,269",,,"1,951,269","1,953,263","1,967,159","1,998,646","2,029,316","2,069,681"
"Douglas County, Nevada",,,"46,997",,,"46,997","47,038","47,028","46,991","47,081","47,536"
"Elko County, Nevada",,,"48,818",,,"48,942","49,074","49,505","51,078","52,531","52,766"
"Esmeralda County, Nevada",,,783,,,784,777,750,763,832,822
"Eureka County, Nevada",,,"1,987",,,"1,987","1,995","1,984","1,996","2,071","2,018"
"Humboldt County, Nevada",,,"16,528",,,"16,525","16,603","16,661","17,101","17,369","17,279"
"Lander County, Nevada",,,"5,775",,,"5,775","5,789","5,848","5,929","6,074","6,009"
"Lincoln County, Nevada",,,"5,345",,,"5,345","5,362","5,269","5,348","5,248","5,184"
"Lyon County, Nevada",,,"51,980",,,"51,980","52,065","51,484","51,158","51,400","51,789"
"Mineral County, Nevada",,,"4,772",,,"4,772","4,785","4,630","4,662","4,559","4,500"
"Nye County, Nevada",,,"43,946",,,"43,945","43,864","43,322","42,923","42,298","42,282"
"Pershing County, Nevada",,,"6,753",,,"6,753","6,742","6,640","6,765","6,862","6,698"
"Storey County, Nevada",,,"4,010",,,"4,010","3,997","3,956","3,915","3,889","3,912"
"Washoe County, Nevada",,,"421,407",,,"421,427","422,035","424,902","429,086","433,824","440,078"
"White Pine County, Nevada",,,"10,030",,,"10,030","10,046","10,114","9,989","10,034","10,034"
"Carson City, Nevada",,,"55,274",,,"55,274","55,260","54,747","54,578","54,061","54,522"
"Belknap County, New Hampshire",,,"60,088",,,"60,092","60,109","60,253","60,394","60,201","60,305"
"Carroll County, New Hampshire",,,"47,818",,,"47,820","47,810","47,736","47,667","47,505","47,399"
"Cheshire County, New Hampshire",,,"77,117",,,"77,117","76,914","76,792","76,758","76,399","76,115"
"Coos County, New Hampshire",,,"33,055",,,"33,052","32,957","32,460","31,977","31,962","31,653"
"Grafton County, New Hampshire",,,"89,118",,,"89,114","89,105","89,067","89,342","89,628","89,658"
"Hillsborough County, New Hampshire",,,"400,721",,,"400,721","400,982","401,716","402,600","403,398","405,184"
"Merrimack County, New Hampshire",,,"146,445",,,"146,442","146,411","146,681","146,987","147,150","147,171"
"Rockingham County, New Hampshire",,,"295,223",,,"295,220","295,306","295,999","297,841","298,745","300,621"
"Strafford County, New Hampshire",,,"123,143",,,"123,146","123,203","123,945","124,543","124,642","125,604"
"Sullivan County, New Hampshire",,,"43,742",,,"43,742","43,720","43,460","43,188","42,986","43,103"
"Atlantic County, New Jersey",,,"274,549",,,"274,549","274,762","274,923","275,566","276,167","275,209"
"Bergen County, New Jersey",,,"905,116",,,"905,117","906,748","914,087","920,440","927,434","933,572"
"Burlington County, New Jersey",,,"448,734",,,"448,728","449,174","450,531","451,207","450,141","449,722"
"Camden County, New Jersey",,,"513,657",,,"513,678","513,630","513,261","513,104","512,125","511,038"
"Cape May County, New Jersey",,,"97,265",,,"97,265","97,278","96,562","96,398","95,849","95,344"
"Cumberland County, New Jersey",,,"156,898",,,"156,898","157,200","157,607","157,794","157,153","157,389"
"Essex County, New Jersey",,,"783,969",,,"783,987","784,608","787,232","788,425","792,091","795,723"
"Gloucester County, New Jersey",,,"288,288",,,"288,288","288,602","289,363","289,671","289,940","290,951"
"Hudson County, New Jersey",,,"634,266",,,"634,277","636,294","648,197","656,879","663,906","669,115"
"Hunterdon County, New Jersey",,,"128,349",,,"127,351","127,343","127,253","126,593","126,473","126,067"
"Mercer County, New Jersey",,,"366,513",,,"367,508","368,043","367,941","369,057","371,052","371,537"
"Middlesex County, New Jersey",,,"809,858",,,"809,860","811,272","817,400","824,447","830,815","836,297"
"Monmouth County, New Jersey",,,"630,380",,,"630,378","630,649","629,835","629,176","629,569","629,279"
"Morris County, New Jersey",,,"492,276",,,"492,279","492,706","495,782","497,630","499,672","499,727"
"Ocean County, New Jersey",,,"576,567",,,"576,565","577,651","578,990","580,709","583,412","586,301"
"Passaic County, New Jersey",,,"501,226",,,"501,624","502,201","503,946","505,013","506,998","508,856"
"Salem County, New Jersey",,,"66,083",,,"66,083","65,992","66,028","65,664","65,106","64,715"
"Somerset County, New Jersey",,,"323,444",,,"323,441","324,171","326,795","328,691","331,297","332,568"
"Sussex County, New Jersey",,,"149,265",,,"148,869","148,770","148,034","146,985","145,740","144,909"
"Union County, New Jersey",,,"536,499",,,"536,499","537,810","540,709","545,001","549,723","552,939"
"Warren County, New Jersey",,,"108,692",,,"108,692","108,676","108,138","107,550","106,839","106,917"
"Bernalillo County, New Mexico",,,"662,564",,,"662,555","664,110","669,604","672,995","674,883","675,551"
"Catron County, New Mexico",,,"3,725",,,"3,725","3,741","3,714","3,652","3,592","3,556"
"Chaves County, New Mexico",,,"65,645",,,"65,645","65,779","65,726","65,828","66,041","65,878"
"Cibola County, New Mexico",,,"27,213",,,"27,213","27,303","27,509","27,318","27,483","27,349"
"Colfax County, New Mexico",,,"13,750",,,"13,750","13,739","13,618","13,230","13,054","12,680"
"Curry County, New Mexico",,,"48,376",,,"48,376","48,962","49,681","50,674","50,580","50,969"
"De Baca County, New Mexico",,,"2,022",,,"2,022","2,016","1,967","1,935","1,891","1,825"
"Doña Ana County, New Mexico",,,"209,233",,,"209,241","210,237","212,890","214,208","213,697","213,676"
"Eddy County, New Mexico",,,"53,829",,,"53,829","53,897","54,021","54,370","55,486","56,395"
"Grant County, New Mexico",,,"29,514",,,"29,514","29,383","29,385","29,339","29,310","29,096"
"Guadalupe County, New Mexico",,,"4,687",,,"4,687","4,688","4,646","4,607","4,560","4,468"
"Harding County, New Mexico",,,695,,,695,688,713,701,688,683
"Hidalgo County, New Mexico",,,"4,894",,,"4,894","4,851","4,844","4,789","4,626","4,560"
"Lea County, New Mexico",,,"64,727",,,"64,727","64,644","65,103","66,286","68,347","69,999"
"Lincoln County, New Mexico",,,"20,497",,,"20,497","20,470","20,402","20,208","20,023","19,706"
"Los Alamos County, New Mexico",,,"17,950",,,"17,950","18,012","18,181","18,162","17,831","17,682"
"Luna County, New Mexico",,,"25,095",,,"25,095","25,116","25,147","25,019","24,778","24,673"
"McKinley County, New Mexico",,,"71,492",,,"71,491","71,766","73,497","72,716","73,332","74,098"
"Mora County, New Mexico",,,"4,881",,,"4,881","4,883","4,783","4,679","4,673","4,592"
"Otero County, New Mexico",,,"63,797",,,"63,799","64,396","65,597","66,102","65,900","65,082"
"Quay County, New Mexico",,,"9,041",,,"9,041","9,050","9,064","8,798","8,697","8,501"
"Rio Arriba County, New Mexico",,,"40,246",,,"40,247","40,318","40,333","40,260","40,088","39,777"
"Roosevelt County, New Mexico",,,"19,846",,,"19,846","20,011","20,459","20,336","19,983","19,536"
"Sandoval County, New Mexico",,,"131,561",,,"131,563","132,367","134,183","135,319","136,479","137,608"
"San Juan County, New Mexico",,,"130,044",,,"130,045","130,155","128,035","128,367","126,448","123,785"
"San Miguel County, New Mexico",,,"29,393",,,"29,393","29,377","29,305","28,953","28,623","28,239"
"Santa Fe County, New Mexico",,,"144,170",,,"144,171","144,503","145,447","146,385","147,306","148,164"
"Sierra County, New Mexico",,,"11,988",,,"11,988","12,039","12,040","11,893","11,571","11,325"
"Socorro County, New Mexico",,,"17,866",,,"17,864","17,830","17,840","17,527","17,531","17,310"
"Taos County, New Mexico",,,"32,937",,,"32,940","32,906","32,941","32,817","33,030","33,084"
"Torrance County, New Mexico",,,"16,383",,,"16,383","16,380","16,411","16,072","15,713","15,611"
"Union County, New Mexico",,,"4,549",,,"4,551","4,541","4,428","4,419","4,381","4,297"
"Valencia County, New Mexico",,,"76,569",,,"76,574","76,792","76,893","76,630","76,270","75,817"
"Albany County, New York",,,"304,204",,,"304,208","304,005","304,840","306,186","307,418","308,171"
"Allegany County, New York",,,"48,946",,,"48,946","48,986","48,862","48,289","48,060","47,736"
"Bronx County, New York",,,"1,385,108",,,"1,385,108","1,388,314","1,399,815","1,414,225","1,427,317","1,438,159"
"Broome County, New York",,,"200,600",,,"200,600","200,428","199,335","198,670","198,203","197,349"
"Cattaraugus County, New York",,,"80,317",,,"80,317","80,227","79,820","79,342","78,996","78,600"
"Cayuga County, New York",,,"80,026",,,"80,025","79,826","79,803","79,617","79,335","78,823"
"Chautauqua County, New York",,,"134,905",,,"134,905","134,839","134,316","133,458","133,115","132,053"
"Chemung County, New York",,,"88,830",,,"88,830","88,947","88,973","89,231","88,485","87,770"
"Chenango County, New York",,,"50,477",,,"50,479","50,332","50,214","49,849","49,518","49,426"
"Clinton County, New York",,,"82,128",,,"82,128","82,066","81,849","81,826","81,773","81,632"
"Columbia County, New York",,,"63,096",,,"63,096","63,015","62,644","62,554","62,289","62,122"
"Cortland County, New York",,,"49,336",,,"49,303","49,257","49,520","49,203","49,149","49,024"
"Delaware County, New York",,,"47,980",,,"47,989","47,856","47,625","47,166","46,885","46,581"
"Dutchess County, New York",,,"297,488",,,"297,448","297,687","298,272","297,340","297,063","296,579"
"Erie County, New York",,,"919,040",,,"919,064","918,836","919,709","920,205","921,883","922,835"
"Essex County, New York",,,"39,370",,,"39,372","39,289","39,468","39,066","38,857","38,679"
"Franklin County, New York",,,"51,599",,,"51,597","51,582","51,547","51,813","51,335","51,262"
"Fulton County, New York",,,"55,531",,,"55,531","55,451","55,255","55,013","54,528","54,105"
"Genesee County, New York",,,"60,079",,,"60,050","60,032","60,019","59,874","59,422","59,162"
"Greene County, New York",,,"49,221",,,"49,220","49,115","48,992","48,656","48,359","47,967"
"Hamilton County, New York",,,"4,836",,,"4,836","4,828","4,822","4,787","4,759","4,715"
"Herkimer County, New York",,,"64,519",,,"64,503","64,442","64,639","64,572","64,246","63,744"
"Jefferson County, New York",,,"116,229",,,"116,229","116,595","118,273","120,916","119,536","119,103"
"Kings County, New York",,,"2,504,700",,,"2,504,709","2,510,073","2,544,903","2,574,864","2,602,373","2,621,793"
"Lewis County, New York",,,"27,087",,,"27,087","27,067","27,088","27,259","27,186","27,220"
"Livingston County, New York",,,"65,393",,,"65,250","65,261","64,896","64,862","64,731","64,586"
"Madison County, New York",,,"73,442",,,"73,440","73,400","72,946","72,420","72,521","72,369"
"Monroe County, New York",,,"744,344",,,"744,340","744,647","747,225","748,582","750,071","749,857"
"Montgomery County, New York",,,"50,219",,,"50,236","50,288","49,965","49,891","49,830","49,779"
"Nassau County, New York",,,"1,339,532",,,"1,339,710","1,341,500","1,346,857","1,350,923","1,355,099","1,358,627"
"New York County, New York",,,"1,585,873",,,"1,585,873","1,588,494","1,610,027","1,625,198","1,632,005","1,636,268"
"Niagara County, New York",,,"216,469",,,"216,477","216,506","215,702","214,862","214,270","213,525"
"Oneida County, New York",,,"234,878",,,"234,879","234,859","234,207","233,981","233,801","232,871"
"Onondaga County, New York",,,"467,026",,,"467,031","467,422","467,586","467,182","468,843","468,196"
"Ontario County, New York",,,"107,931",,,"108,105","108,233","108,762","108,824","109,351","109,707"
"Orange County, New York",,,"372,813",,,"372,813","373,402","374,228","373,936","374,926","376,099"
"Orleans County, New York",,,"42,883",,,"42,883","42,847","42,730","42,517","42,384","41,984"
"Oswego County, New York",,,"122,109",,,"122,107","122,154","122,077","121,654","121,497","120,913"
"Otsego County, New York",,,"62,259",,,"62,253","62,225","62,015","61,880","61,644","61,128"
"Putnam County, New York",,,"99,710",,,"99,750","99,775","99,924","99,657","99,643","99,487"
"Queens County, New York",,,"2,230,722",,,"2,230,539","2,235,370","2,261,430","2,280,639","2,303,993","2,321,580"
"Rensselaer County, New York",,,"159,429",,,"159,427","159,346","159,654","159,572","159,653","159,774"
"Richmond County, New York",,,"468,730",,,"468,730","469,602","471,063","470,977","472,691","473,279"
"Rockland County, New York",,,"311,687",,,"311,687","312,475","315,783","317,825","320,983","323,866"
"St. Lawrence County, New York",,,"111,944",,,"111,944","111,821","112,370","112,466","112,019","111,400"
"Saratoga County, New York",,,"219,607",,,"219,613","220,018","221,088","222,413","224,119","224,921"
"Schenectady County, New York",,,"154,727",,,"154,725","154,919","154,746","155,051","155,440","155,735"
"Schoharie County, New York",,,"32,749",,,"32,747","32,666","32,638","32,048","31,849","31,566"
"Schuyler County, New York",,,"18,343",,,"18,344","18,302","18,478","18,549","18,484","18,479"
"Seneca County, New York",,,"35,251",,,"35,244","35,247","35,377","35,381","35,273","34,884"
"Steuben County, New York",,,"98,990",,,"98,988","98,939","99,252","99,048","98,951","98,394"
"Suffolk County, New York",,,"1,493,350",,,"1,493,346","1,494,744","1,500,780","1,500,422","1,502,953","1,502,968"
"Sullivan County, New York",,,"77,547",,,"77,545","77,443","77,123","76,951","76,999","75,943"
"Tioga County, New York",,,"51,125",,,"51,125","51,041","50,916","50,335","50,159","49,870"
"Tompkins County, New York",,,"101,564",,,"101,595","101,726","102,066","103,044","104,368","104,691"
"Ulster County, New York",,,"182,493",,,"182,494","182,374","182,613","181,708","180,848","180,445"
"Warren County, New York",,,"65,707",,,"65,705","65,675","65,689","65,430","65,175","64,973"
"Washington County, New York",,,"63,216",,,"63,216","63,316","63,093","63,046","62,723","62,372"
"Wayne County, New York",,,"93,772",,,"93,762","93,734","93,255","93,009","92,388","92,051"
"Westchester County, New York",,,"949,113",,,"949,114","950,544","957,271","961,849","969,296","972,634"
"Wyoming County, New York",,,"42,155",,,"42,143","42,097","41,909","41,762","41,441","41,188"
"Yates County, New York",,,"25,348",,,"25,352","25,360","25,401","25,265","25,169","25,208"
"Alamance County, North Carolina",,,"151,131",,,"151,241","151,551","152,866","153,672","154,685","155,792"
"Alexander County, North Carolina",,,"37,198",,,"37,193","37,272","37,148","37,012","37,050","37,392"
"Alleghany County, North Carolina",,,"11,155",,,"11,155","11,145","11,024","10,925","10,899","10,879"
"Anson County, North Carolina",,,"26,948",,,"26,948","26,892","26,539","26,351","26,000","25,765"
"Ashe County, North Carolina",,,"27,281",,,"27,281","27,267","27,176","27,150","27,148","27,126"
"Avery County, North Carolina",,,"17,797",,,"17,795","17,738","17,782","17,656","17,748","17,773"
"Beaufort County, North Carolina",,,"47,759",,,"47,773","47,767","47,664","47,491","47,429","47,585"
"Bertie County, North Carolina",,,"21,282",,,"21,293","21,262","20,982","20,601","20,433","20,106"
"Bladen County, North Carolina",,,"35,190",,,"35,190","35,179","34,997","34,906","34,838","34,657"
"Brunswick County, North Carolina",,,"107,431",,,"107,431","108,083","110,215","112,138","115,262","118,836"
"Buncombe County, North Carolina",,,"238,318",,,"238,307","238,832","241,416","244,363","247,846","250,539"
"Burke County, North Carolina",,,"90,912",,,"90,914","90,699","90,772","90,235","89,628","89,486"
"Cabarrus County, North Carolina",,,"178,011",,,"178,182","178,687","181,336","184,487","187,661","192,103"
"Caldwell County, North Carolina",,,"83,029",,,"83,029","83,002","82,297","81,946","81,969","81,484"
"Camden County, North Carolina",,,"9,980",,,"9,980","9,997","10,060","10,054","10,193","10,331"
"Carteret County, North Carolina",,,"66,469",,,"66,469","66,749","67,399","67,779","68,516","68,811"
"Caswell County, North Carolina",,,"23,719",,,"23,719","23,697","23,576","23,183","23,248","23,082"
"Catawba County, North Carolina",,,"154,358",,,"154,356","154,332","154,175","154,518","154,726","154,534"
"Chatham County, North Carolina",,,"63,505",,,"63,494","63,785","65,191","65,811","66,766","68,698"
"Cherokee County, North Carolina",,,"27,444",,,"27,444","27,426","27,136","26,972","27,106","27,141"
"Chowan County, North Carolina",,,"14,793",,,"14,793","14,753","14,797","14,695","14,699","14,572"
"Clay County, North Carolina",,,"10,587",,,"10,587","10,574","10,653","10,656","10,618","10,581"
"Cleveland County, North Carolina",,,"98,078",,,"98,083","98,039","97,614","97,515","97,077","97,076"
"Columbus County, North Carolina",,,"58,098",,,"58,098","57,967","57,844","57,604","57,194","56,953"
"Craven County, North Carolina",,,"103,505",,,"103,505","103,919","104,675","105,309","104,455","104,510"
"Cumberland County, North Carolina",,,"319,431",,,"319,431","320,254","323,865","323,099","326,466","326,328"
"Currituck County, North Carolina",,,"23,547",,,"23,547","23,651","23,927","24,092","24,414","24,976"
"Dare County, North Carolina",,,"33,920",,,"33,920","33,980","34,191","34,458","34,919","35,104"
"Davidson County, North Carolina",,,"162,878",,,"162,878","162,898","163,360","163,542","163,854","164,072"
"Davie County, North Carolina",,,"41,240",,,"41,222","41,321","41,383","41,366","41,549","41,434"
"Duplin County, North Carolina",,,"58,505",,,"58,505","58,710","59,425","59,667","59,593","59,882"
"Durham County, North Carolina",,,"267,587",,,"269,974","270,798","276,299","282,308","288,243","294,460"
"Edgecombe County, North Carolina",,,"56,552",,,"56,551","56,609","56,087","55,714","55,554","54,933"
"Forsyth County, North Carolina",,,"350,670",,,"350,670","351,399","354,465","357,967","361,521","365,298"
"Franklin County, North Carolina",,,"60,619",,,"60,594","60,821","61,090","61,571","62,275","62,860"
"Gaston County, North Carolina",,,"206,086",,,"206,083","206,091","206,982","208,204","209,492","211,127"
"Gates County, North Carolina",,,"12,197",,,"12,186","12,163","12,069","11,909","11,675","11,567"
"Graham County, North Carolina",,,"8,861",,,"8,861","8,864","8,782","8,696","8,727","8,644"
"Granville County, North Carolina",,,"59,916",,,"57,532","57,650","57,681","57,818","58,128","58,500"
"Greene County, North Carolina",,,"21,362",,,"21,362","21,383","21,684","21,391","21,214","21,093"
"Guilford County, North Carolina",,,"488,406",,,"488,406","489,479","495,052","500,894","506,953","512,119"
"Halifax County, North Carolina",,,"54,691",,,"54,691","54,515","54,240","53,923","53,365","52,970"
"Harnett County, North Carolina",,,"114,678",,,"114,678","115,721","119,208","122,213","125,137","126,666"
"Haywood County, North Carolina",,,"59,036",,,"59,036","58,950","58,693","58,782","59,163","59,471"
"Henderson County, North Carolina",,,"106,740",,,"106,742","106,909","107,504","108,115","109,531","111,149"
"Hertford County, North Carolina",,,"24,669",,,"24,658","24,605","24,514","24,432","24,440","24,308"
"Hoke County, North Carolina",,,"46,952",,,"46,952","47,473","49,464","50,467","51,153","51,611"
"Hyde County, North Carolina",,,"5,810",,,"5,810","5,809","5,832","5,738","5,730","5,676"
"Iredell County, North Carolina",,,"159,437",,,"159,440","159,820","161,099","162,724","164,676","166,675"
"Jackson County, North Carolina",,,"40,271",,,"40,271","40,352","40,181","40,516","40,960","40,981"
"Johnston County, North Carolina",,,"168,878",,,"168,878","169,617","172,783","174,893","178,000","181,423"
"Jones County, North Carolina",,,"10,153",,,"10,153","10,080","10,268","10,276","10,220","10,076"
"Lee County, North Carolina",,,"57,866",,,"57,866","57,896","58,557","59,368","59,997","59,662"
"Lenoir County, North Carolina",,,"59,495",,,"59,495","59,452","59,448","59,181","58,911","58,485"
"Lincoln County, North Carolina",,,"78,265",,,"78,265","78,409","78,541","78,973","79,451","79,829"
"McDowell County, North Carolina",,,"44,996",,,"44,996","45,069","44,952","44,967","44,959","44,965"
"Macon County, North Carolina",,,"33,922",,,"33,922","33,930","33,821","33,796","33,779","33,875"
"Madison County, North Carolina",,,"20,764",,,"20,774","20,774","20,823","20,882","21,121","21,157"
"Martin County, North Carolina",,,"24,505",,,"24,505","24,455","24,237","23,886","23,704","23,454"
"Mecklenburg County, North Carolina",,,"919,628",,,"919,666","923,413","945,257","968,779","992,514","1,012,539"
"Mitchell County, North Carolina",,,"15,579",,,"15,581","15,532","15,371","15,367","15,318","15,311"
"Montgomery County, North Carolina",,,"27,798",,,"27,798","27,734","27,857","27,637","27,509","27,395"
"Moore County, North Carolina",,,"88,247",,,"88,247","88,572","89,349","90,320","91,576","93,077"
